Solute_Canon,Solvent_Canon,Solvent,Temperature_K,LogS,Solubility(mole_fraction),MW,Source
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CS(C)=O,DMSO,313.15,-0.5194339194012989,0.0214,328.2730000000001,10.1016/j.jct.2016.05.003
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CS(C)=O,DMSO,318.15,-0.489412795829653,0.023,328.2730000000001,10.1016/j.jct.2016.05.003
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,293.15,0.7333924355082394,0.2776,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,295.65,0.7603797458196321,0.2907,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,298.15,0.7862156679304129,0.3036,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,300.65,0.8116143173415217,0.3166,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,303.15,0.8366414802240744,0.3297,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,305.65,0.8615117128617352,0.343,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,308.15,0.885156493139415,0.3559,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,310.65,0.9091483406461924,0.3692,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,313.15,0.935324421997425,0.3839,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,315.65,0.9600509883820212,0.398,146.15300000000002,10.1016/j.jct.2017.04.019
c1ccc(-c2nnn[nH]2)cc1,CS(C)=O,DMSO,318.15,0.984094544425907,0.4119,146.15300000000002,10.1016/j.jct.2017.04.019
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,293.15,-1.4311443717839334,0.002624,267.245,10.1016/j.jct.2017.07.023
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,298.15,-1.3759643907632733,0.002992,267.245,10.1016/j.jct.2017.07.023
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,303.15,-1.3117394849778996,0.003483,267.245,10.1016/j.jct.2017.07.023
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,308.15,-1.2601181508654256,0.003939,267.245,10.1016/j.jct.2017.07.023
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,313.15,-1.211600396859709,0.004423,267.245,10.1016/j.jct.2017.07.023
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,318.15,-1.1703441219666928,0.004884,267.245,10.1016/j.jct.2017.07.023
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CS(C)=O,DMSO,323.15,-1.130791208545359,0.005372,267.245,10.1016/j.jct.2017.07.023
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,293.15,-0.2560685612450006,0.03788,142.18300000000002,10.1016/j.jct.2018.02.002
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,298.15,-0.1989852232255171,0.04316,142.18300000000002,10.1016/j.jct.2018.02.002
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,303.15,-0.1425407383087352,0.04907,142.18300000000002,10.1016/j.jct.2018.02.002
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,308.15,-0.0927052853944127,0.05495,142.18300000000002,10.1016/j.jct.2018.02.002
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,313.15,-0.040175060265106,0.06185,142.18300000000002,10.1016/j.jct.2018.02.002
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,318.15,0.0099362220658616,0.06919,142.18300000000002,10.1016/j.jct.2018.02.002
Cc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,DMSO,323.15,0.0599742068543965,0.07732,142.18300000000002,10.1016/j.jct.2018.02.002
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,283.15,-2.6931275191300243,0.0001426,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,288.15,-2.646715268355614,0.0001594,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,293.15,-2.6049204038025504,0.0001763,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,298.15,-2.567136300968024,0.0001932,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,303.15,-2.5255142239587536,0.0002136,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,308.15,-2.487529581292206,0.0002342,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,313.15,-2.4473423709090367,0.0002581,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,318.15,-2.411336863152215,0.0002817,181.191,10.1016/j.jct.2018.05.011
N[C@@H](Cc1ccc(O)cc1)C(=O)O,CS(C)=O,DMSO,323.15,-2.374441006486703,0.0003081,181.191,10.1016/j.jct.2018.05.011
Nc1ncnc2nc[nH]c12,CS(C)=O,DMSO,293.15,-0.8014745113818246,0.01109,135.13,10.1016/j.jct.2018.05.030
Nc1ncnc2nc[nH]c12,CS(C)=O,DMSO,298.15,-0.7788049368205748,0.01173,135.13,10.1016/j.jct.2018.05.030
Nc1ncnc2nc[nH]c12,CS(C)=O,DMSO,303.15,-0.7567224198604106,0.01239,135.13,10.1016/j.jct.2018.05.030
Nc1ncnc2nc[nH]c12,CS(C)=O,DMSO,308.15,-0.7355657697562517,0.01306,135.13,10.1016/j.jct.2018.05.030
Nc1ncnc2nc[nH]c12,CS(C)=O,DMSO,313.15,-0.7152471682910366,0.01374,135.13,10.1016/j.jct.2018.05.030
Nc1ncnc2nc[nH]c12,CS(C)=O,DMSO,318.15,-0.6956672124633351,0.01443,135.13,10.1016/j.jct.2018.05.030
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,293.15,-0.9894439494926196,0.007222,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,298.15,-0.9425636419932216,0.0080749999999999,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,303.15,-0.890610154713434,0.0091329999999999,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,308.15,-0.8377594749129008,0.01035,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,313.15,-0.7859454149453192,0.0116999999999999,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,318.15,-0.7339021614423874,0.01323,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,323.15,-0.685042439575245,0.01485,306.321,10.1016/j.jct.2018.11.021
Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CS(C)=O,DMSO,328.15,-0.6342245654411682,0.0167399999999999,306.321,10.1016/j.jct.2018.11.021
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,293.15,-0.5441121602608942,0.01988,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,298.15,-0.4645099491304516,0.02389,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,303.15,-0.3884340377439308,0.02846,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,308.15,-0.315501153722697,0.03364,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,313.15,-0.2497439173141876,0.0391,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,318.15,-0.1882390836897655,0.04498,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,323.15,-0.1277858974247632,0.05158,195.265,10.1016/j.jct.2018.12.045
c1ccc2c(c1)CCc1ccccc1N2,CS(C)=O,DMSO,328.15,-0.0668772873923164,0.05915,195.265,10.1016/j.jct.2018.12.045
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,293.15,0.557467810719101,0.204,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,298.15,0.5866538516302569,0.2159,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,303.15,0.6146156749296989,0.2278,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,308.15,0.6400337963067037,0.2391,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,313.15,0.6684868311264398,0.2521,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,318.15,0.695043307201135,0.2647,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,323.15,0.7207252833092682,0.2773,225.16,10.1016/j.jct.2019.01.013
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CS(C)=O,DMSO,328.15,0.7451950334209902,0.2897,225.16,10.1016/j.jct.2019.01.013
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,293.15,-1.378523028009367,0.002961,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,298.15,-1.2743215114764983,0.003778,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,303.15,-1.1716955863719107,0.004802,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,308.15,-1.0527805666104673,0.006334,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,313.15,-0.9562356782533076,0.007935,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,318.15,-0.8583752947988965,0.009966,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,323.15,-0.7665588371527501,0.01234,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,328.15,-0.6699065387003305,0.01544,214.051,10.1016/j.jct.2019.07.001
Oc1c(Cl)cc(Cl)c2cccnc12,CS(C)=O,DMSO,333.15,-0.5858992926680077,0.01876,214.051,10.1016/j.jct.2019.07.001
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,293.15,0.5834320409796097,0.21388,293.32200000000006,10.1016/j.jct.2020.106239
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,298.15,0.6112706983211375,0.22565,293.32200000000006,10.1016/j.jct.2020.106239
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,303.15,0.6442132115705664,0.24001,293.32200000000006,10.1016/j.jct.2020.106239
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,308.15,0.6804060000618485,0.25642,293.32200000000006,10.1016/j.jct.2020.106239
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,313.15,0.71334855707011,0.27207,293.32200000000006,10.1016/j.jct.2020.106239
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,318.15,0.7434614020241673,0.28696,293.32200000000006,10.1016/j.jct.2020.106239
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CS(C)=O,DMSO,323.15,0.7753750796141985,0.30321,293.32200000000006,10.1016/j.jct.2020.106239
O=c1cc(CO)occ1O,CS(C)=O,DMSO,293.15,0.6445691867349427,0.2385,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,298.15,0.6670997977806491,0.2489,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,303.15,0.6880469896427531,0.2589,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,308.15,0.7066268711161768,0.2681,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,313.15,0.7305830535843807,0.28,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,318.15,0.7536832970068679,0.2918,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,323.15,0.774943318853708,0.303,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,328.15,0.7999219649049684,0.3163,142.11,10.1016/j.jct.2020.106280
O=c1cc(CO)occ1O,CS(C)=O,DMSO,333.15,0.8260639995623085,0.3305,142.11,10.1016/j.jct.2020.106280
CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(C)=O,DMSO,298.15,-0.2719544433683443,0.03673,246.306,10.1016/j.jct.2020.106328
CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(C)=O,DMSO,303.15,-0.1728902987084836,0.04591,246.306,10.1016/j.jct.2020.106328
CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(C)=O,DMSO,308.15,-0.0779602823324778,0.05674,246.306,10.1016/j.jct.2020.106328
CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(C)=O,DMSO,313.15,0.014227372789456,0.06953,246.306,10.1016/j.jct.2020.106328
CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(C)=O,DMSO,318.15,0.1074214131446053,0.08512,246.306,10.1016/j.jct.2020.106328
CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(C)=O,DMSO,323.15,0.1991235243441473,0.1035,246.306,10.1016/j.jct.2020.106328
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,298.15,0.3673533987819846,0.1425,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,303.15,0.4059413479465311,0.1543,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,308.15,0.4439160222938315,0.1667,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,313.15,0.4810381993083867,0.1796,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,318.15,0.5199428197974019,0.1939,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,323.15,0.5597533357852842,0.2094,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,328.15,0.5975691684943357,0.225,281.995,10.1016/j.jct.2022.106819
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1Cl,CS(C)=O,DMSO,333.15,0.6384449365959991,0.2427,281.995,10.1016/j.jct.2022.106819
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,293.15,-1.546098252258144,0.002015,253.26900000000003,10.1016/j.jct.2024.107324
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,298.15,-1.402834212796395,0.002813,253.26900000000003,10.1016/j.jct.2024.107324
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,303.15,-1.2730833852562615,0.003806,253.26900000000003,10.1016/j.jct.2024.107324
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,308.15,-1.145633683707489,0.005121,253.26900000000003,10.1016/j.jct.2024.107324
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,313.15,-1.0235131381934286,0.006804,253.26900000000003,10.1016/j.jct.2024.107324
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,318.15,-0.9026391915295284,0.009009,253.26900000000003,10.1016/j.jct.2024.107324
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,CS(C)=O,DMSO,323.15,-0.7858570886647339,0.01181,253.26900000000003,10.1016/j.jct.2024.107324
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,288.15,-0.4101734435070168,0.02675,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,292.15,-0.3396369391412644,0.03143,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,296.15,-0.2518029905715824,0.03834,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,300.15,-0.1691336834124054,0.04617,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,304.15,-0.0958948944757523,0.05438,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,308.15,-0.0528883091139473,0.05991,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,312.15,0.042399631676414,0.07378,168.14799999999997,10.1016/j.jct.2024.107343
CC(=O)C1C(=O)C=C(C)OC1=O,CS(C)=O,DMSO,316.15,0.1209023559875326,0.08742,168.14799999999997,10.1016/j.jct.2024.107343
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,293.15,-0.7757043956406353,0.01176,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,298.15,-0.7069942527257957,0.01381,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,303.15,-0.6405115984737938,0.01613,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,308.15,-0.5762327048185426,0.01874,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,313.15,-0.5136641354493522,0.02168,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,318.15,-0.4533809596764578,0.02494,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,323.15,-0.3938298700289384,0.02863,254.118,10.1016/j.jct.2025.107487
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,CS(C)=O,DMSO,328.15,-0.3360505602720042,0.03272,254.118,10.1016/j.jct.2025.107487
